ግዕዝ ,ትግርኛ 
ቤቴል,ቤት እግዚአብሔር
ቤዝ,ኮኾብ
ቤዴላህ,ቃንጥሻ
ብልሂት,ኣዛሒት
ብልታናስ,ወርኂ
ብሑእ,ብሒቝ
ብሑት,ሥልጡን፡ ልዑል
ብሔር,ዞባ፡ ከባቢ፡ ዓዲ
ብሕባሔ,ጥንተ ፍጥረት (ዋህዮ)
ብሕውስ,ኣብሾ
ብርክ,ብርኪ
ብሩህ,ብሩህ
ብሩር,ብሩር
ብርሃን,ብርሃን
ብርስን,ብርስን
ብርስኖት/ ብርስዮት,ዓደስ
ብርኒ,ድሙ
ብርዕ,ብርዒ፡ ቀለም
ብርት,ነሓሲ
ብርያል,ሰይጣን
ብነት,ዕሽር፡ ግብሪ
ብንኦምኒ,ወዲ ጻዕሪ (ብንያም)
ብእሲ,ሰብኣይ
ብእሲት,ሰበይቲ
ብዕራ/ ብዕራይ,ብዕራይ
ብዕዛ,ጸናጽል
ብዙኅ,ብዙኅ
ብድብድ,ሕማም ተላገብ
ብድዮን,ብርኒሂጎ፡ ብርኒጎ
ብጻል,ቍራጽ ጨርቂ፡ ቡጃል
ብፁዕ,ብፁዕ፡ ምስጉን፡ ክቡር
ቦጽል/ ቦጼል,ፃዕዳ ሽጉርቲ
ተላብ/ ተለቤ/ ተላቤ,እንጣጢዕ
ተላዕ,ሓኸለ ሥጋ
ተልሚድ,ተልመዴን፡ ተመሃራይ
ተሓግ,ተሓግ፡ ሮማዲ
ተሐኘ,ጽሩይ፡ ንጹሕ
ተመርት,ተምሪ
ተመን,ተመን
ተምኔት,ድሌት
ተምያን,ተንኰል (ኣርተፊሻል)
ተሥላስ,ሣልሳይ ደርቢ
ተራፊን,ጣዖት
ተርሚን,ክሊዓው
ተርሜን,ታህሰስ
ተርቢዝ,ሓተላ ስዋ
ተቅራም,ቀሪም እኽሊ
ትቅሳም,ቀውዒ (ፍረ ቀውዒ)
ተቅዋም,ቀንዴል
ተብሪዝ/ ተበሪዝ,ሽንቲ
